Task,CC-GPT-4o,CC-GPT-4o (no ctx),CC-GPT-4o-mini,CC-GPT-4o-mini (no ctx),CC-Llama-3.1-405b-instruct,CC-Llama-3.1-405b-instruct (no ctx),LLama3-70B-instruct,LLama3-70B-instruct (no ctx),LLama3-8B,LLama3-8B (no ctx),LLama3-8B-instruct,LLama3-8B-instruct (no ctx),Lag-Llama,Naive_random,Naive_oracle,Statsmodels
MontrealFireTrashAndNauticalConvincingToneExplicitCausalConfoundingTask, 0.168 ± 0.049, 0.157 ± 0.032, 0.115 ± 0.044, 0.286 ± 0.112, 0.223 ± 0.054, 0.447 ± 0.185, 2.114 ± 1.609, 0.111 ± 0.026, 0.118 ± 0.042, 0.105 ± 0.032, 0.290 ± 0.139, 0.112 ± 0.033, 0.125 ± 0.031, 0.249 ± 0.096, 0.000 ± 0.000, 0.347 ± 0.096
MontrealFireTrashAndNauticalConvincingToneImplicitCausalConfoundingTask, 0.205 ± 0.055, 0.184 ± 0.052, 0.132 ± 0.049, 0.300 ± 0.101, 0.284 ± 0.099, 0.434 ± 0.186, 5.374 ± 3.458, 0.116 ± 0.031, 0.137 ± 0.053, 0.110 ± 0.029, 0.189 ± 0.053, 0.139 ± 0.037, 0.125 ± 0.031, 0.249 ± 0.096, 0.000 ± 0.000, 0.310 ± 0.075
MontrealFireTrashAndNauticalNeutralToneExplicitCausalConfoundingTask, 0.153 ± 0.061, 0.194 ± 0.058, 0.119 ± 0.038, 0.334 ± 0.138, 0.256 ± 0.103, 0.432 ± 0.188, 0.797 ± 0.640, 0.105 ± 0.033, 0.116 ± 0.035, 0.105 ± 0.028, 0.277 ± 0.118, 0.108 ± 0.029, 0.125 ± 0.031, 0.249 ± 0.096, 0.000 ± 0.000, 0.310 ± 0.075
MontrealFireTrashAndNauticalNeutralToneImplicitCausalConfoundingTask, 0.155 ± 0.066, 0.161 ± 0.039, 0.129 ± 0.037, 0.280 ± 0.090, 0.263 ± 0.103, 0.418 ± 0.172, 0.385 ± 0.199, 0.115 ± 0.028, 0.131 ± 0.050, 0.096 ± 0.024, 0.157 ± 0.061, 0.116 ± 0.034, 0.125 ± 0.031, 0.249 ± 0.097, 0.000 ± 0.000, 0.361 ± 0.120
MontrealFireTrashFireExplicitShortHistoryTask, 0.121 ± 0.036, 0.187 ± 0.060, 0.137 ± 0.051, 0.308 ± 0.121, 0.136 ± 0.041, 0.442 ± 0.183, 0.111 ± 0.032, 0.115 ± 0.027, 0.111 ± 0.035, 0.122 ± 0.028, 0.150 ± 0.054, 0.115 ± 0.032, 0.125 ± 0.031, 0.247 ± 0.097, 0.000 ± 0.000, 0.374 ± 0.115
MontrealFireTrashFireImplicitShortHistoryTask, 0.109 ± 0.027, 0.155 ± 0.038, 0.123 ± 0.015, 0.323 ± 0.132, 0.111 ± 0.028, 0.454 ± 0.183, 0.093 ± 0.023, 0.116 ± 0.031, 0.098 ± 0.026, 0.116 ± 0.033, 0.095 ± 0.032, 0.119 ± 0.032, 0.125 ± 0.031, 0.248 ± 0.096, 0.000 ± 0.000, 0.354 ± 0.112
OraclePredUnivariateConstraintsTask, 0.029 ± 0.017, 0.032 ± 0.011, 0.040 ± 0.016, 0.069 ± 0.024, 0.038 ± 0.024, 0.047 ± 0.024, 0.030 ± 0.017, 0.037 ± 0.014, 0.058 ± 0.028, 0.045 ± 0.019, 0.055 ± 0.019, 0.045 ± 0.013, 0.172 ± 0.102, 0.601 ± 0.314, 0.000 ± 0.000, 0.251 ± 0.162
SensorMaintenanceInPredictionTask, 0.030 ± 0.015, 0.246 ± 0.093, 0.155 ± 0.066, 0.250 ± 0.089, 0.030 ± 0.013, 0.249 ± 0.095, 0.383 ± 0.313, 0.239 ± 0.089, 0.206 ± 0.076, 0.231 ± 0.084, 0.181 ± 0.071, 0.242 ± 0.092, 0.167 ± 0.056, 0.201 ± 0.074, 0.000 ± 0.000, 0.213 ± 0.081
SensorPeriodicMaintenanceTask, 0.151 ± 0.088, 0.237 ± 0.094, 0.240 ± 0.095, 0.225 ± 0.094, 0.109 ± 0.048, 0.243 ± 0.095, 0.240 ± 0.095, 0.239 ± 0.094, 0.275 ± 0.109, 0.286 ± 0.115, 0.241 ± 0.095, 0.248 ± 0.097, 0.284 ± 0.124, 0.397 ± 0.156, 0.000 ± 0.000, 0.216 ± 0.082
SensorSpikeTask, 0.062 ± 0.029, 0.053 ± 0.024, 0.101 ± 0.040, 0.097 ± 0.040, 0.049 ± 0.019, 0.059 ± 0.025, 0.069 ± 0.030, 0.071 ± 0.030, 0.080 ± 0.037, 0.111 ± 0.070, 0.057 ± 0.021, 0.059 ± 0.022, 0.177 ± 0.080, 0.401 ± 0.156, 0.000 ± 0.000, 0.202 ± 0.078
SensorTrendAccumulationTask, 0.281 ± 0.123, 0.575 ± 0.216, 0.587 ± 0.210, 0.433 ± 0.156, 0.385 ± 0.245, 0.591 ± 0.252, 10.179 ± 8.765, 0.632 ± 0.231, 0.518 ± 0.188, 0.605 ± 0.218, 0.484 ± 0.186, 0.603 ± 0.234, 0.470 ± 0.160, 0.401 ± 0.156, 0.000 ± 0.000, 0.472 ± 0.161
ShortNewsElectricityIncreaseInPredictionTask, 0.004 ± 0.002, 0.086 ± 0.047, 0.053 ± 0.038, 0.087 ± 0.048, 0.008 ± 0.005, 0.086 ± 0.047, 0.013 ± 0.004, 0.086 ± 0.047, 0.085 ± 0.047, 0.086 ± 0.048, 0.085 ± 0.048, 0.086 ± 0.048, 0.087 ± 0.046, 0.129 ± 0.066, 0.000 ± 0.000, 0.085 ± 0.047
SpeedFromLoadTask, 0.155 ± 0.032, 0.595 ± 0.280, 0.531 ± 0.271, 0.602 ± 0.279, 0.258 ± 0.071, 0.601 ± 0.279, 0.290 ± 0.044, 0.602 ± 0.279, 0.586 ± 0.277, 0.577 ± 0.257, 0.593 ± 0.272, 0.602 ± 0.279, 0.545 ± 0.206, 0.657 ± 0.137, 0.657 ± 0.137, 2.619 ± 1.639
UnemploymentCountyUsingExplicitMultipleStateData, 0.092 ± 0.029, 0.247 ± 0.048, 0.134 ± 0.010, 0.290 ± 0.100, 0.115 ± 0.045, 0.476 ± 0.175, 0.127 ± 0.022, 0.175 ± 0.035, 0.138 ± 0.039, 0.245 ± 0.057, 0.170 ± 0.060, 0.252 ± 0.062, 0.431 ± 0.085, 2.110 ± 0.324, 0.000 ± 0.000, 1.032 ± 0.495
